Team,Player,Role,Base_Cr,Sold_Cr,Overseas
DC,Shafali Verma,BAT,,2.2,No
DC,Annabel Sutherland,AR,,2.2,Yes
DC,Jemimah Rodrigues,BAT,,2.2,No
DC,Marizanne Kapp,AR,,2.2,Yes
DC,Shree Charani,AR,0.3,1.3,No
DC,Chinelle Henry,AR,0.3,1.3,Yes
DC,Laura Wolvaardt,BAT,0.3,1.1,Yes
DC,Niki Prasad,AR,,0.5,No
DC,Sneh Rana,AR,0.3,0.5,No
DC,Minnu Mani,AR,0.4,0.4,No
DC,Taniya Bhatia,BAT,0.3,0.3,No
DC,Lizelle Lee,BAT,0.3,0.3,Yes
DC,Nandani Sharma,BOWL,0.2,0.2,No
DC,Deeya Yadav,BAT,0.1,0.1,No
DC,Lucy Hamilton,AR,0.1,0.1,Yes
DC,Madiwala Mamatha,BAT,0.1,0.1,No
,,,,,
GG,Ashleigh Gardner,AR,,3.5,Yes
GG,Beth Mooney,BAT,,2.5,Yes
GG,Sophie Devine,AR,0.5,2,Yes
GG,Georgia Wareham,AR,0.5,1,Yes
GG,Bharti Fulmali,BAT,0.3,0.7,No
GG,Kashvee Gautam,AR,0.3,0.65,No
GG,Renuka Singh,BOWL,0.4,0.6,No
GG,Yastika Bhatia,BAT,0.3,0.5,No
GG,Kim Garth,AR,0.5,0.5,Yes
GG,Danni Wyatt,BAT,0.5,0.5,Yes
GG,Anushka Sharma,AR,0.1,0.45,No
GG,Tanuja Kanwar,AR,0.3,0.45,No
GG,Rajeshwari Gayakwad,BOWL,0.4,0.4,No
GG,Kanika Ahuja,AR,0.3,0.3,No
GG,Titas Sadhu,BOWL,0.3,0.3,No
GG,Ayushi Soni,AR,0.3,0.3,No
GG,Happy Kumari,BOWL,0.1,0.1,No
GG,Shivani Singh,BAT,0.1,0.1,No
,,,,,
MI,Nat Sciver-Brunt,AR,,3.5,Yes
MI,Amelia Kerr,AR,0.5,3,Yes
MI,Harmanpreet Kaur,AR,,2.5,No
MI,Hayley Matthews,AR,,1.75,Yes
MI,Amanjot Kaur,AR,,1,No
MI,Sajeevan Sajana,AR,0.3,0.75,No
MI,Shabnim Ismail,BOWL,0.4,0.6,Yes
MI,Gunalan Kamalini,BAT,,0.5,No
MI,Saika Ishaque,BOWL,0.3,0.3,No
MI,Nicola Carey,AR,0.3,0.3,Yes
MI,Triveni Vasistha,AR,0.2,0.2,No
MI,Sanskriti Gupta,AR,0.2,0.2,No
MI,Milly Illingworth,BOWL,0.1,0.1,Yes
MI,Poonam Khemnar,AR,0.1,0.1,No
MI,Rahila Firdous,BAT,0.1,0.1,No
MI,Kranthi Reddy,AR,0.1,0.1,No
MI,Vaishnavi Sharma,BOWL,,0.3,No
,,,,,
RCB,Smriti Mandhana,BAT,,3.5,No
RCB,Richa Ghosh,BAT,,2.75,No
RCB,Ellyse Perry,AR,,2,Yes
RCB,Lauren Bell,BOWL,0.3,0.9,Yes
RCB,Pooja Vastrakar,AR,0.5,0.85,No
RCB,Arundhati Reddy,AR,0.3,0.75,No
RCB,Grace Harris,AR,0.3,0.75,Yes
RCB,Radha Yadav,AR,0.3,0.65,No
RCB,Nadine de Klerk,AR,0.3,0.65,Yes
RCB,Shreyanka Patil,AR,,0.6,No
RCB,Georgia Voll,BAT,0.4,0.6,Yes
RCB,Dayalan Hemalatha,AR,0.3,0.3,No
RCB,Linsey Smith,BOWL,0.3,0.3,Yes
RCB,Prema Rawat,AR,0.1,0.2,No
RCB,Gautami Naik,AR,0.1,0.1,No
RCB,Kumar Prathyoosha,BAT,0.1,0.1,No
RCB,Sayali Satghare,AR,,0.3,No
,,,,,
UPW,Deepti Sharma,AR,0.5,3.2,No
UPW,Shikha Pandey,AR,0.4,2.4,No
UPW,Meg Lanning,BAT,0.5,1.9,Yes
UPW,Phoebe Litchfield,BAT,0.5,1.2,Yes
UPW,Sobhana Asha,BOWL,0.3,1.1,No
UPW,Sophie Ecclestone,BOWL,0.5,0.85,Yes
UPW,Deandra Dottin,AR,0.5,0.8,Yes
UPW,Kiran Navgire,BAT,0.4,0.6,No
UPW,Kranti Goud,BOWL,0.5,0.5,No
UPW,Pratika Rawal,AR,0.5,0.5,No
UPW,Shweta Sehrawat,BAT,,0.5,No
UPW,Harleen Deol,AR,0.5,0.5,No
UPW,Chloe Tryon,AR,0.3,0.3,Yes
UPW,Shipra Giri,BAT,0.1,0.1,No
UPW,Simran Shaikh,BAT,0.1,0.1,No
UPW,Gongadi Trisha,AR,0.1,0.1,No
UPW,Suman Meena,AR,0.1,0.1,No
UPW,Tara Norris,AR,0.1,0.1,Yes
UPW,Charli Knott,AR,,0.1,Yes
UPW,Amy Jones,BAT,,0.5,Yes